day_name;hour;yhat
Monday;0;13
Monday;1;12
Monday;2;10
Monday;3;8
Monday;4;8
Monday;5;8
Monday;6;9
Monday;7;9
Monday;8;7
Monday;9;5
Monday;10;2
Monday;11;1
Monday;12;1
Monday;13;1
Monday;14;2
Monday;15;3
Monday;16;4
Monday;17;5
Monday;18;5
Monday;19;5
Monday;20;4
Monday;21;5
Monday;22;7
Monday;23;9
Tuesday;0;10
Tuesday;1;9
Tuesday;2;7
Tuesday;3;6
Tuesday;4;5
Tuesday;5;6
Tuesday;6;7
Tuesday;7;7
Tuesday;8;6
Tuesday;9;4
Tuesday;10;2
Tuesday;11;1
Tuesday;12;1
Tuesday;13;1
Tuesday;14;2
Tuesday;15;3
Tuesday;16;4
Tuesday;17;5
Tuesday;18;6
Tuesday;19;5
Tuesday;20;5
Tuesday;21;6
Tuesday;22;7
Tuesday;23;9
Wednesday;0;11
Wednesday;1;10
Wednesday;2;8
Wednesday;3;6
Wednesday;4;6
Wednesday;5;7
Wednesday;6;8
Wednesday;7;8
Wednesday;8;7
Wednesday;9;4
Wednesday;10;2
Wednesday;11;1
Wednesday;12;1
Wednesday;13;2
Wednesday;14;2
Wednesday;15;3
Wednesday;16;4
Wednesday;17;5
Wednesday;18;6
Wednesday;19;5
Wednesday;20;5
Wednesday;21;6
Wednesday;22;8
Wednesday;23;10
Thursday;0;11
Thursday;1;10
Thursday;2;8
Thursday;3;7
Thursday;4;6
Thursday;5;7
Thursday;6;8
Thursday;7;8
Thursday;8;7
Thursday;9;5
Thursday;10;3
Thursday;11;2
Thursday;12;2
Thursday;13;2
Thursday;14;3
Thursday;15;4
Thursday;16;5
Thursday;17;6
Thursday;18;7
Thursday;19;7
Thursday;20;7
Thursday;21;7
Thursday;22;9
Thursday;23;11
Friday;0;12
Friday;1;12
Friday;2;10
Friday;3;9
Friday;4;8
Friday;5;10
Friday;6;11
Friday;7;11
Friday;8;10
Friday;9;8
Friday;10;6
Friday;11;5
Friday;12;5
Friday;13;5
Friday;14;6
Friday;15;8
Friday;16;9
Friday;17;10
Friday;18;10
Friday;19;10
Friday;20;10
Friday;21;11
Friday;22;13
Friday;23;15
Saturday;0;17
Saturday;1;16
Saturday;2;15
Saturday;3;13
Saturday;4;13
Saturday;5;14
Saturday;6;15
Saturday;7;15
Saturday;8;14
Saturday;9;12
Saturday;10;10
Saturday;11;9
Saturday;12;9
Saturday;13;10
Saturday;14;10
Saturday;15;11
Saturday;16;12
Saturday;17;14
Saturday;18;14
Saturday;19;14
Saturday;20;13
Saturday;21;14
Saturday;22;16
Saturday;23;18
Sunday;0;18
Sunday;1;18
Sunday;2;16
Sunday;3;14
Sunday;4;14
Sunday;5;14
Sunday;6;15
Sunday;7;15
Sunday;8;13
Sunday;9;11
Sunday;10;8
Sunday;11;7
Sunday;12;7
Sunday;13;7
Sunday;14;7
Sunday;15;8
Sunday;16;9
Sunday;17;10
Sunday;18;10
Sunday;19;9
Sunday;20;9
Sunday;21;9
Sunday;22;10
Sunday;23;12
