day_name;hour;yhat
Monday;0;1447
Monday;1;1019
Monday;2;520
Monday;3;66
Monday;4;120
Monday;5;107
Monday;6;675
Monday;7;1317
Monday;8;1770
Monday;9;1954
Monday;10;1983
Monday;11;2018
Monday;12;2105
Monday;13;2164
Monday;14;2113
Monday;15;2001
Monday;16;1988
Monday;17;2194
Monday;18;2562
Monday;19;2870
Monday;20;2943
Monday;21;2730
Monday;22;2356
Monday;23;1971
Tuesday;0;1635
Tuesday;1;1231
Tuesday;2;754
Tuesday;3;319
Tuesday;4;149
Tuesday;5;391
Tuesday;6;969
Tuesday;7;1620
Tuesday;8;2080
Tuesday;9;2267
Tuesday;10;2298
Tuesday;11;2333
Tuesday;12;2418
Tuesday;13;2472
Tuesday;14;2415
Tuesday;15;2295
Tuesday;16;2274
Tuesday;17;2470
Tuesday;18;2828
Tuesday;19;3138
Tuesday;20;3199
Tuesday;21;2974
Tuesday;22;2588
Tuesday;23;2191
Wednesday;0;1830
Wednesday;1;1416
Wednesday;2;928
Wednesday;3;484
Wednesday;4;305
Wednesday;5;539
Wednesday;6;1111
Wednesday;7;1756
Wednesday;8;2211
Wednesday;9;2395
Wednesday;10;2423
Wednesday;11;2456
Wednesday;12;2541
Wednesday;13;2595
Wednesday;14;2539
Wednesday;15;2422
Wednesday;16;2403
Wednesday;17;2602
Wednesday;18;2964
Wednesday;19;3278
Wednesday;20;3343
Wednesday;21;3122
Wednesday;22;2740
Wednesday;23;2347
Thursday;0;1978
Thursday;1;1566
Thursday;2;1080
Thursday;3;637
Thursday;4;459
Thursday;5;693
Thursday;6;1264
Thursday;7;1907
Thursday;8;2359
Thursday;9;2539
Thursday;10;2562
Thursday;11;2590
Thursday;12;2668
Thursday;13;2715
Thursday;14;2651
Thursday;15;2525
Thursday;16;2497
Thursday;17;2687
Thursday;18;3039
Thursday;19;3343
Thursday;20;3399
Thursday;21;3168
Thursday;22;2778
Thursday;23;2376
Friday;0;1999
Friday;1;1580
Friday;2;1088
Friday;3;640
Friday;4;458
Friday;5;689
Friday;6;1258
Friday;7;1901
Friday;8;2354
Friday;9;2537
Friday;10;2565
Friday;11;2598
Friday;12;2683
Friday;13;2738
Friday;14;2684
Friday;15;2569
Friday;16;2552
Friday;17;2754
Friday;18;3120
Friday;19;3437
Friday;20;3507
Friday;21;3290
Friday;22;2913
Friday;23;2525
Saturday;0;2161
Saturday;1;1754
Saturday;2;1273
Saturday;3;835
Saturday;4;661
Saturday;5;899
Saturday;6;1473
Saturday;7;2119
Saturday;8;2573
Saturday;9;2754
Saturday;10;2777
Saturday;11;2804
Saturday;12;2879
Saturday;13;2923
Saturday;14;2854
Saturday;15;2721
Saturday;16;2685
Saturday;17;2865
Saturday;18;3205
Saturday;19;3496
Saturday;20;3536
Saturday;21;3288
Saturday;22;2878
Saturday;23;2456
Sunday;0;2056
Sunday;1;1612
Sunday;2;1094
Sunday;3;618
Sunday;4;406
Sunday;5;606
Sunday;6;1143
Sunday;7;1753
Sunday;8;2171
Sunday;9;2319
Sunday;10;2311
Sunday;11;2307
Sunday;12;2355
Sunday;13;2373
Sunday;14;2282
Sunday;15;2131
Sunday;16;2078
Sunday;17;2245
Sunday;18;2576
Sunday;19;2862
Sunday;20;2900
Sunday;21;2653
Sunday;22;2249
Sunday;23;1835
