day_name;hour;yhat
Monday;0;146
Monday;1;143
Monday;2;106
Monday;3;67
Monday;4;63
Monday;5;103
Monday;6;161
Monday;7;197
Monday;8;189
Monday;9;151
Monday;10;113
Monday;11;98
Monday;12;103
Monday;13;112
Monday;14;111
Monday;15;104
Monday;16;103
Monday;17;107
Monday;18;107
Monday;19;92
Monday;20;68
Monday;21;58
Monday;22;77
Monday;23;117
Tuesday;0;148
Tuesday;1;142
Tuesday;2;102
Tuesday;3;61
Tuesday;4;55
Tuesday;5;93
Tuesday;6;149
Tuesday;7;182
Tuesday;8;173
Tuesday;9;133
Tuesday;10;95
Tuesday;11;79
Tuesday;12;84
Tuesday;13;93
Tuesday;14;92
Tuesday;15;86
Tuesday;16;86
Tuesday;17;91
Tuesday;18;92
Tuesday;19;78
Tuesday;20;57
Tuesday;21;49
Tuesday;22;70
Tuesday;23;112
Wednesday;0;145
Wednesday;1;141
Wednesday;2;103
Wednesday;3;64
Wednesday;4;60
Wednesday;5;100
Wednesday;6;158
Wednesday;7;193
Wednesday;8;186
Wednesday;9;147
Wednesday;10;110
Wednesday;11;95
Wednesday;12;101
Wednesday;13;109
Wednesday;14;109
Wednesday;15;103
Wednesday;16;102
Wednesday;17;107
Wednesday;18;107
Wednesday;19;92
Wednesday;20;69
Wednesday;21;59
Wednesday;22;78
Wednesday;23;118
Thursday;0;149
Thursday;1;143
Thursday;2;103
Thursday;3;62
Thursday;4;56
Thursday;5;93
Thursday;6;149
Thursday;7;183
Thursday;8;173
Thursday;9;133
Thursday;10;94
Thursday;11;78
Thursday;12;83
Thursday;13;91
Thursday;14;90
Thursday;15;84
Thursday;16;83
Thursday;17;88
Thursday;18;89
Thursday;19;75
Thursday;20;53
Thursday;21;45
Thursday;22;66
Thursday;23;109
Friday;0;142
Friday;1;139
Friday;2;102
Friday;3;63
Friday;4;60
Friday;5;101
Friday;6;159
Friday;7;196
Friday;8;190
Friday;9;153
Friday;10;116
Friday;11;103
Friday;12;110
Friday;13;120
Friday;14;121
Friday;15;117
Friday;16;117
Friday;17;124
Friday;18;125
Friday;19;111
Friday;20;90
Friday;21;81
Friday;22;101
Friday;23;142
Saturday;0;173
Saturday;1;168
Saturday;2;129
Saturday;3;87
Saturday;4;81
Saturday;5;118
Saturday;6;174
Saturday;7;206
Saturday;8;196
Saturday;9;155
Saturday;10;114
Saturday;11;97
Saturday;12;100
Saturday;13;106
Saturday;14;102
Saturday;15;94
Saturday;16;90
Saturday;17;93
Saturday;18;91
Saturday;19;75
Saturday;20;50
Saturday;21;39
Saturday;22;57
Saturday;23;96
Sunday;0;127
Sunday;1;121
Sunday;2;81
Sunday;3;40
Sunday;4;34
Sunday;5;73
Sunday;6;129
Sunday;7;164
Sunday;8;156
Sunday;9;117
Sunday;10;80
Sunday;11;66
Sunday;12;72
Sunday;13;81
Sunday;14;82
Sunday;15;78
Sunday;16;78
Sunday;17;85
Sunday;18;87
Sunday;19;75
Sunday;20;54
Sunday;21;47
Sunday;22;69
Sunday;23;112
