day_name,hour,yhat
Monday,0,1
Monday,1,0
Monday,2,0
Monday,3,2
Monday,4,4
Monday,5,4
Monday,6,1
Monday,7,0
Monday,8,0
Monday,9,0
Monday,10,0
Monday,11,0
Monday,12,0
Monday,13,0
Monday,14,1
Monday,15,1
Monday,16,2
Monday,17,2
Monday,18,2
Monday,19,2
Monday,20,3
Monday,21,3
Monday,22,3
Monday,23,1
Tuesday,0,0
Tuesday,1,0
Tuesday,2,0
Tuesday,3,2
Tuesday,4,4
Tuesday,5,4
Tuesday,6,2
Tuesday,7,0
Tuesday,8,0
Tuesday,9,0
Tuesday,10,0
Tuesday,11,0
Tuesday,12,0
Tuesday,13,2
Tuesday,14,3
Tuesday,15,4
Tuesday,16,4
Tuesday,17,4
Tuesday,18,4
Tuesday,19,4
Tuesday,20,5
Tuesday,21,5
Tuesday,22,5
Tuesday,23,3
Wednesday,0,1
Wednesday,1,0
Wednesday,2,0
Wednesday,3,2
Wednesday,4,4
Wednesday,5,4
Wednesday,6,2
Wednesday,7,0
Wednesday,8,0
Wednesday,9,0
Wednesday,10,0
Wednesday,11,0
Wednesday,12,0
Wednesday,13,0
Wednesday,14,1
Wednesday,15,2
Wednesday,16,2
Wednesday,17,2
Wednesday,18,2
Wednesday,19,2
Wednesday,20,3
Wednesday,21,3
Wednesday,22,3
Wednesday,23,1
Thursday,0,0
Thursday,1,0
Thursday,2,0
Thursday,3,1
Thursday,4,4
Thursday,5,4
Thursday,6,2
Thursday,7,0
Thursday,8,0
Thursday,9,0
Thursday,10,0
Thursday,11,0
Thursday,12,0
Thursday,13,2
Thursday,14,3
Thursday,15,4
Thursday,16,5
Thursday,17,5
Thursday,18,5
Thursday,19,5
Thursday,20,5
Thursday,21,6
Thursday,22,5
Thursday,23,3
Friday,0,1
Friday,1,0
Friday,2,1
Friday,3,3
Friday,4,4
Friday,5,4
Friday,6,2
Friday,7,0
Friday,8,0
Friday,9,0
Friday,10,0
Friday,11,0
Friday,12,0
Friday,13,0
Friday,14,0
Friday,15,0
Friday,16,0
Friday,17,0
Friday,18,0
Friday,19,0
Friday,20,0
Friday,21,0
Friday,22,0
Friday,23,0
Saturday,0,0
Saturday,1,0
Saturday,2,0
Saturday,3,0
Saturday,4,0
Saturday,5,0
Saturday,6,0
Saturday,7,0
Saturday,8,0
Saturday,9,0
Saturday,10,0
Saturday,11,0
Saturday,12,0
Saturday,13,0
Saturday,14,0
Saturday,15,0
Saturday,16,0
Saturday,17,1
Saturday,18,1
Saturday,19,2
Saturday,20,2
Saturday,21,3
Saturday,22,3
Saturday,23,2
Sunday,0,0
Sunday,1,0
Sunday,2,0
Sunday,3,3
Sunday,4,5
Sunday,5,5
Sunday,6,3
Sunday,7,0
Sunday,8,0
Sunday,9,0
Sunday,10,0
Sunday,11,0
Sunday,12,1
Sunday,13,3
Sunday,14,4
Sunday,15,5
Sunday,16,5
Sunday,17,5
Sunday,18,5
Sunday,19,5
Sunday,20,5
Sunday,21,6
Sunday,22,5
Sunday,23,3
