day_name;hour;yhat
Monday;0;107
Monday;1;93
Monday;2;64
Monday;3;32
Monday;4;12
Monday;5;9
Monday;6;16
Monday;7;22
Monday;8;21
Monday;9;14
Monday;10;6
Monday;11;3
Monday;12;3
Monday;13;2
Monday;14;0
Monday;15;1
Monday;16;1
Monday;17;7
Monday;18;15
Monday;19;22
Monday;20;34
Monday;21;50
Monday;22;71
Monday;23;91
Tuesday;0;96
Tuesday;1;85
Tuesday;2;57
Tuesday;3;28
Tuesday;4;10
Tuesday;5;8
Tuesday;6;16
Tuesday;7;24
Tuesday;8;25
Tuesday;9;18
Tuesday;10;12
Tuesday;11;10
Tuesday;12;10
Tuesday;13;10
Tuesday;14;9
Tuesday;15;8
Tuesday;16;10
Tuesday;17;16
Tuesday;18;24
Tuesday;19;31
Tuesday;20;40
Tuesday;21;55
Tuesday;22;75
Tuesday;23;95
Wednesday;0;103
Wednesday;1;91
Wednesday;2;63
Wednesday;3;33
Wednesday;4;14
Wednesday;5;12
Wednesday;6;20
Wednesday;7;28
Wednesday;8;27
Wednesday;9;21
Wednesday;10;14
Wednesday;11;11
Wednesday;12;12
Wednesday;13;12
Wednesday;14;10
Wednesday;15;9
Wednesday;16;11
Wednesday;17;17
Wednesday;18;25
Wednesday;19;32
Wednesday;20;42
Wednesday;21;57
Wednesday;22;77
Wednesday;23;97
Thursday;0;105
Thursday;1;93
Thursday;2;66
Thursday;3;36
Thursday;4;17
Thursday;5;16
Thursday;6;24
Thursday;7;32
Thursday;8;32
Thursday;9;26
Thursday;10;19
Thursday;11;16
Thursday;12;17
Thursday;13;17
Thursday;14;15
Thursday;15;14
Thursday;16;16
Thursday;17;22
Thursday;18;30
Thursday;19;37
Thursday;20;47
Thursday;21;61
Thursday;22;82
Thursday;23;102
Friday;0;110
Friday;1;98
Friday;2;70
Friday;3;40
Friday;4;22
Friday;5;20
Friday;6;29
Friday;7;37
Friday;8;38
Friday;9;32
Friday;10;26
Friday;11;24
Friday;12;25
Friday;13;26
Friday;14;25
Friday;15;25
Friday;16;28
Friday;17;35
Friday;18;44
Friday;19;53
Friday;20;63
Friday;21;79
Friday;22;102
Friday;23;123
Saturday;0;132
Saturday;1;121
Saturday;2;95
Saturday;3;66
Saturday;4;49
Saturday;5;49
Saturday;6;59
Saturday;7;68
Saturday;8;69
Saturday;9;64
Saturday;10;58
Saturday;11;56
Saturday;12;58
Saturday;13;59
Saturday;14;58
Saturday;15;57
Saturday;16;59
Saturday;17;66
Saturday;18;73
Saturday;19;81
Saturday;20;90
Saturday;21;104
Saturday;22;125
Saturday;23;144
Sunday;0;151
Sunday;1;138
Sunday;2;109
Sunday;3;77
Sunday;4;57
Sunday;5;54
Sunday;6;61
Sunday;7;67
Sunday;8;64
Sunday;9;56
Sunday;10;47
Sunday;11;42
Sunday;12;41
Sunday;13;38
Sunday;14;34
Sunday;15;31
Sunday;16;31
Sunday;17;34
Sunday;18;40
Sunday;19;45
Sunday;20;52
Sunday;21;65
Sunday;22;83
Sunday;23;101
