day_name,hour,yhat
Monday,0,0
Monday,1,0
Monday,2,0
Monday,3,0
Monday,4,0
Monday,5,0
Monday,6,0
Monday,7,0
Monday,8,0
Monday,9,0
Monday,10,0
Monday,11,0
Monday,12,0
Monday,13,0
Monday,14,0
Monday,15,0
Monday,16,0
Monday,17,0
Monday,18,0
Monday,19,0
Monday,20,0
Monday,21,0
Monday,22,0
Monday,23,0
Tuesday,0,0
Tuesday,1,0
Tuesday,2,0
Tuesday,3,0
Tuesday,4,0
Tuesday,5,0
Tuesday,6,0
Tuesday,7,0
Tuesday,8,0
Tuesday,9,0
Tuesday,10,0
Tuesday,11,0
Tuesday,12,0
Tuesday,13,0
Tuesday,14,0
Tuesday,15,0
Tuesday,16,0
Tuesday,17,0
Tuesday,18,0
Tuesday,19,0
Tuesday,20,0
Tuesday,21,0
Tuesday,22,1
Tuesday,23,1
Wednesday,0,0
Wednesday,1,0
Wednesday,2,0
Wednesday,3,0
Wednesday,4,0
Wednesday,5,0
Wednesday,6,0
Wednesday,7,0
Wednesday,8,0
Wednesday,9,0
Wednesday,10,0
Wednesday,11,0
Wednesday,12,0
Wednesday,13,0
Wednesday,14,0
Wednesday,15,0
Wednesday,16,0
Wednesday,17,0
Wednesday,18,0
Wednesday,19,0
Wednesday,20,0
Wednesday,21,0
Wednesday,22,0
Wednesday,23,0
Thursday,0,0
Thursday,1,0
Thursday,2,0
Thursday,3,0
Thursday,4,0
Thursday,5,0
Thursday,6,0
Thursday,7,0
Thursday,8,0
Thursday,9,0
Thursday,10,0
Thursday,11,0
Thursday,12,0
Thursday,13,0
Thursday,14,0
Thursday,15,0
Thursday,16,0
Thursday,17,0
Thursday,18,0
Thursday,19,0
Thursday,20,0
Thursday,21,1
Thursday,22,1
Thursday,23,1
Friday,0,1
Friday,1,0
Friday,2,0
Friday,3,0
Friday,4,0
Friday,5,0
Friday,6,0
Friday,7,0
Friday,8,0
Friday,9,0
Friday,10,0
Friday,11,0
Friday,12,0
Friday,13,0
Friday,14,0
Friday,15,0
Friday,16,0
Friday,17,0
Friday,18,0
Friday,19,0
Friday,20,0
Friday,21,0
Friday,22,0
Friday,23,0
Saturday,0,0
Saturday,1,0
Saturday,2,0
Saturday,3,0
Saturday,4,0
Saturday,5,0
Saturday,6,0
Saturday,7,0
Saturday,8,0
Saturday,9,0
Saturday,10,0
Saturday,11,0
Saturday,12,0
Saturday,13,0
Saturday,14,0
Saturday,15,0
Saturday,16,0
Saturday,17,0
Saturday,18,0
Saturday,19,0
Saturday,20,0
Saturday,21,0
Saturday,22,1
Saturday,23,1
Sunday,0,1
Sunday,1,1
Sunday,2,0
Sunday,3,0
Sunday,4,0
Sunday,5,0
Sunday,6,0
Sunday,7,0
Sunday,8,0
Sunday,9,0
Sunday,10,0
Sunday,11,0
Sunday,12,0
Sunday,13,0
Sunday,14,0
Sunday,15,0
Sunday,16,0
Sunday,17,0
Sunday,18,0
Sunday,19,0
Sunday,20,0
Sunday,21,1
Sunday,22,1
Sunday,23,1
