day_name,hour,yhat
Monday,0,3
Monday,1,3
Monday,2,3
Monday,3,3
Monday,4,2
Monday,5,3
Monday,6,3
Monday,7,3
Monday,8,2
Monday,9,2
Monday,10,1
Monday,11,1
Monday,12,1
Monday,13,1
Monday,14,1
Monday,15,2
Monday,16,2
Monday,17,2
Monday,18,2
Monday,19,2
Monday,20,2
Monday,21,2
Monday,22,2
Monday,23,3
Tuesday,0,3
Tuesday,1,3
Tuesday,2,3
Tuesday,3,2
Tuesday,4,2
Tuesday,5,2
Tuesday,6,2
Tuesday,7,2
Tuesday,8,2
Tuesday,9,2
Tuesday,11,1
Tuesday,12,1
Tuesday,13,1
Tuesday,14,1
Tuesday,15,2
Tuesday,16,2
Tuesday,17,2
Tuesday,18,2
Tuesday,19,2
Tuesday,20,2
Tuesday,21,2
Tuesday,22,2
Tuesday,23,3
Wednesday,0,3
Wednesday,1,3
Wednesday,2,3
Wednesday,3,3
Wednesday,4,2
Wednesday,5,2
Wednesday,6,3
Wednesday,7,3
Wednesday,8,2
Wednesday,9,2
Wednesday,10,2
Wednesday,11,2
Wednesday,12,1
Wednesday,13,1
Wednesday,14,2
Wednesday,15,2
Wednesday,16,2
Wednesday,17,2
Wednesday,18,2
Wednesday,19,2
Wednesday,20,2
Wednesday,21,2
Wednesday,22,2
Wednesday,23,3
Thursday,0,3
Thursday,1,3
Thursday,2,3
Thursday,3,2
Thursday,4,2
Thursday,5,2
Thursday,6,2
Thursday,7,2
Thursday,8,2
Thursday,9,2
Thursday,10,1
Thursday,11,1
Thursday,12,1
Thursday,13,1
Thursday,14,1
Thursday,15,2
Thursday,16,2
Thursday,17,2
Thursday,18,2
Thursday,19,2
Thursday,20,2
Thursday,21,2
Thursday,22,2
Thursday,23,3
Friday,0,3
Friday,1,3
Friday,2,3
Friday,3,2
Friday,4,2
Friday,5,2
Friday,6,3
Friday,7,3
Friday,8,3
Friday,9,2
Friday,10,2
Friday,12,2
Friday,13,2
Friday,14,2
Friday,15,2
Friday,16,3
Friday,17,3
Friday,18,3
Friday,19,3
Friday,20,3
Friday,21,3
Friday,22,3
Friday,23,4
Saturday,0,4
Saturday,1,4
Saturday,2,4
Saturday,3,4
Saturday,4,4
Saturday,5,4
Saturday,6,4
Saturday,7,4
Saturday,8,4
Saturday,9,3
Saturday,10,3
Saturday,11,3
Saturday,12,3
Saturday,13,3
Saturday,14,3
Saturday,15,3
Saturday,16,3
Saturday,17,4
Saturday,18,4
Saturday,19,4
Saturday,20,4
Saturday,21,4
Saturday,22,4
Saturday,23,4
Sunday,0,4
Sunday,1,4
Sunday,2,4
Sunday,3,4
Sunday,4,4
Sunday,5,4
Sunday,6,4
Sunday,7,4
Sunday,8,4
Sunday,9,3
Sunday,10,3
Sunday,11,2
Sunday,12,2
Sunday,13,2
Sunday,14,2
Sunday,15,3
Sunday,16,3
Sunday,17,3
Sunday,18,3
Sunday,19,3
Sunday,20,3
Sunday,21,3
Sunday,22,3
Sunday,23,3
