day_name,hour,yhat
Monday,0,126
Monday,1,110
Monday,2,76
Monday,3,39
Monday,4,16
Monday,5,11
Monday,6,17
Monday,7,24
Monday,8,22
Monday,9,15
Monday,10,8
Monday,11,5
Monday,12,6
Monday,13,6
Monday,14,3
Monday,15,1
Monday,16,4
Monday,17,10
Monday,18,19
Monday,19,27
Monday,20,44
Monday,21,62
Monday,22,88
Monday,23,111
Tuesday,0,115
Tuesday,1,101
Tuesday,2,69
Tuesday,3,34
Tuesday,4,13
Tuesday,5,10
Tuesday,6,18
Tuesday,7,27
Tuesday,8,27
Tuesday,9,21
Tuesday,10,15
Tuesday,11,13
Tuesday,12,15
Tuesday,13,15
Tuesday,14,13
Tuesday,15,12
Tuesday,16,14
Tuesday,17,21
Tuesday,18,29
Tuesday,19,38
Tuesday,20,48
Tuesday,21,66
Tuesday,22,90
Tuesday,23,113
Wednesday,0,125
Wednesday,1,110
Wednesday,2,76
Wednesday,3,40
Wednesday,4,17
Wednesday,5,13
Wednesday,6,21
Wednesday,7,29
Wednesday,8,29
Wednesday,9,22
Wednesday,10,15
Wednesday,11,13
Wednesday,12,15
Wednesday,13,15
Wednesday,14,13
Wednesday,15,11
Wednesday,16,14
Wednesday,17,21
Wednesday,18,30
Wednesday,19,38
Wednesday,20,50
Wednesday,21,68
Wednesday,22,94
Wednesday,23,117
Thursday,0,126
Thursday,1,112
Thursday,2,79
Thursday,3,44
Thursday,4,21
Thursday,5,18
Thursday,6,27
Thursday,7,35
Thursday,8,35
Thursday,9,29
Thursday,10,22
Thursday,11,21
Thursday,12,22
Thursday,13,22
Thursday,14,20
Thursday,15,19
Thursday,16,21
Thursday,17,28
Thursday,18,37
Thursday,19,45
Thursday,20,56
Thursday,21,74
Thursday,22,99
Thursday,23,123
Friday,0,131
Friday,1,117
Friday,2,84
Friday,3,49
Friday,4,27
Friday,5,24
Friday,6,33
Friday,7,41
Friday,8,41
Friday,9,36
Friday,10,30
Friday,11,29
Friday,12,31
Friday,13,32
Friday,14,32
Friday,15,31
Friday,16,35
Friday,17,43
Friday,18,53
Friday,19,63
Friday,20,76
Friday,21,96
Friday,22,122
Friday,23,147
Saturday,0,157
Saturday,1,145
Saturday,2,114
Saturday,3,81
Saturday,4,61
Saturday,5,59
Saturday,6,69
Saturday,7,79
Saturday,8,81
Saturday,9,76
Saturday,10,71
Saturday,11,71
Saturday,12,73
Saturday,13,74
Saturday,14,73
Saturday,15,72
Saturday,16,75
Saturday,17,83
Saturday,18,91
Saturday,19,100
Saturday,20,111
Saturday,21,128
Saturday,22,152
Saturday,23,174
Sunday,0,181
Sunday,1,166
Sunday,2,132
Sunday,3,96
Sunday,4,72
Sunday,5,67
Sunday,6,73
Sunday,7,79
Sunday,8,76
Sunday,9,67
Sunday,10,58
Sunday,11,54
Sunday,12,52
Sunday,13,50
Sunday,14,45
Sunday,15,41
Sunday,16,40
Sunday,17,44
Sunday,18,49
Sunday,19,55
Sunday,20,63
Sunday,21,78
Sunday,22,100
Sunday,23,120
