day_name,hour,yhat
Monday,0,227
Monday,1,158
Monday,2,97
Monday,3,67
Monday,4,76
Monday,5,111
Monday,6,152
Monday,7,185
Monday,8,203
Monday,9,211
Monday,10,216
Monday,11,223
Monday,12,234
Monday,13,249
Monday,14,264
Monday,15,273
Monday,16,271
Monday,17,258
Monday,18,243
Monday,19,237
Monday,20,264
Monday,21,282
Monday,22,290
Monday,23,269
Tuesday,0,201
Tuesday,1,128
Tuesday,2,63
Tuesday,3,31
Tuesday,4,38
Tuesday,5,72
Tuesday,6,113
Tuesday,7,145
Tuesday,8,164
Tuesday,9,172
Tuesday,10,177
Tuesday,11,184
Tuesday,12,197
Tuesday,13,214
Tuesday,14,231
Tuesday,15,242
Tuesday,16,242
Tuesday,17,231
Tuesday,18,218
Tuesday,19,215
Tuesday,20,227
Tuesday,21,247
Tuesday,22,258
Tuesday,23,240
Wednesday,0,191
Wednesday,1,120
Wednesday,2,57
Wednesday,3,27
Wednesday,4,35
Wednesday,5,72
Wednesday,6,115
Wednesday,7,149
Wednesday,8,169
Wednesday,9,178
Wednesday,10,184
Wednesday,11,192
Wednesday,12,205
Wednesday,13,222
Wednesday,14,239
Wednesday,15,250
Wednesday,16,249
Wednesday,17,238
Wednesday,18,225
Wednesday,19,220
Wednesday,20,232
Wednesday,21,251
Wednesday,22,261
Wednesday,23,241
Thursday,0,188
Thursday,1,116
Thursday,2,53
Thursday,3,22
Thursday,4,30
Thursday,5,65
Thursday,6,108
Thursday,7,142
Thursday,8,161
Thursday,9,171
Thursday,10,177
Thursday,11,186
Thursday,12,199
Thursday,13,217
Thursday,14,235
Thursday,15,247
Thursday,16,247
Thursday,17,238
Thursday,18,225
Thursday,19,222
Thursday,20,235
Thursday,21,257
Thursday,22,268
Thursday,23,250
Friday,0,198
Friday,1,128
Friday,2,67
Friday,3,37
Friday,4,46
Friday,5,82
Friday,6,126
Friday,7,159
Friday,8,179
Friday,9,189
Friday,10,194
Friday,11,202
Friday,12,215
Friday,13,231
Friday,14,248
Friday,15,258
Friday,16,257
Friday,17,245
Friday,18,230
Friday,19,225
Friday,20,235
Friday,21,253
Friday,22,262
Friday,23,241
Saturday,0,186
Saturday,1,113
Saturday,2,49
Saturday,3,17
Saturday,4,23
Saturday,5,56
Saturday,6,96
Saturday,7,128
Saturday,8,145
Saturday,9,153
Saturday,10,157
Saturday,11,164
Saturday,12,175
Saturday,13,191
Saturday,14,207
Saturday,15,218
Saturday,16,217
Saturday,17,207
Saturday,18,194
Saturday,19,190
Saturday,20,203
Saturday,21,224
Saturday,22,235
Saturday,23,218
Sunday,0,167
Sunday,1,98
Sunday,2,39
Sunday,3,11
Sunday,4,22
Sunday,5,59
Sunday,6,104
Sunday,7,141
Sunday,8,163
Sunday,9,175
Sunday,10,184
Sunday,11,195
Sunday,12,211
Sunday,13,231
Sunday,14,251
Sunday,15,265
Sunday,16,268
Sunday,17,260
Sunday,18,249
Sunday,19,247
Sunday,20,261
Sunday,21,283
Sunday,22,295
Sunday,23,278
