day_name;hour;yhat
Monday;0;3
Monday;1;1
Monday;2;1
Monday;3;1
Monday;4;1
Monday;5;1
Monday;6;1
Monday;7;1
Monday;8;1
Monday;9;1
Monday;10;1
Monday;11;1
Monday;12;1
Monday;13;1
Monday;14;1
Monday;15;1
Monday;16;1
Monday;17;1
Monday;18;1
Monday;19;1
Monday;20;1
Monday;21;1
Monday;22;1
Monday;23;1
Tuesday;0;1
Tuesday;1;1
Tuesday;2;1
Tuesday;3;1
Tuesday;4;1
Tuesday;5;1
Tuesday;6;1
Tuesday;7;1
Tuesday;8;1
Tuesday;9;1
Tuesday;10;1
Tuesday;11;1
Tuesday;12;1
Tuesday;13;1
Tuesday;14;1
Tuesday;15;1
Tuesday;16;1
Tuesday;17;1
Tuesday;18;1
Tuesday;19;1
Tuesday;20;1
Tuesday;21;1
Tuesday;22;1
Tuesday;23;1
Wednesday;0;1
Wednesday;1;1
Wednesday;2;1
Wednesday;3;1
Wednesday;4;1
Wednesday;5;1
Wednesday;6;1
Wednesday;7;1
Wednesday;8;1
Wednesday;9;1
Wednesday;10;1
Wednesday;11;1
Wednesday;12;1
Wednesday;13;1
Wednesday;14;1
Wednesday;15;1
Wednesday;16;1
Wednesday;17;1
Wednesday;18;1
Wednesday;19;1
Wednesday;20;1
Wednesday;21;1
Wednesday;22;1
Wednesday;23;1
Thursday;0;1
Thursday;1;2
Thursday;2;1
Thursday;3;1
Thursday;4;1
Thursday;5;1
Thursday;6;1
Thursday;7;1
Thursday;8;1
Thursday;9;1
Thursday;10;3
Thursday;11;1
Thursday;12;1
Thursday;13;1
Thursday;14;1
Thursday;15;1
Thursday;16;1
Thursday;17;1
Thursday;18;1
Thursday;19;1
Thursday;20;3
Friday;0;1
Friday;1;3
Friday;2;1
Friday;3;1
Friday;4;1
Friday;5;1
Friday;6;1
Friday;7;1
Friday;8;1
Friday;9;1
Friday;10;1
Friday;11;1
Friday;12;1
Friday;13;1
Friday;14;1
Friday;15;1
Friday;16;1
Friday;17;1
Friday;18;1
Friday;19;1
Friday;20;1
Friday;21;3
Friday;22;1
Friday;23;1
Saturday;0;1
Saturday;1;1
Saturday;2;1
Saturday;3;1
Saturday;4;1
Saturday;5;1
Saturday;6;3
Saturday;7;3
Saturday;8;1
Saturday;9;1
Saturday;10;3
Saturday;11;1
Saturday;12;1
Saturday;13;1
Saturday;14;1
Saturday;15;1
Saturday;16;3
Saturday;17;1
Saturday;18;3
Saturday;19;3
Saturday;20;3
Saturday;21;1
Saturday;22;3
Saturday;23;1
Sunday;0;1
Sunday;1;1
Sunday;2;1
Sunday;3;3
Sunday;4;1
Sunday;5;1
Sunday;6;1
Sunday;7;3
Sunday;8;3
Sunday;9;1
Sunday;10;1
Sunday;11;1
Sunday;12;1
Sunday;13;1
Sunday;14;1
Sunday;15;1
Sunday;16;3
Sunday;17;1
Sunday;18;1
Sunday;19;1
Sunday;20;1
Sunday;21;1
Sunday;22;3
Sunday;23;3
